epoch,total_loss,loss_cost,loss_risk,loss_discard,loss_surplus,loss_shortage
1,228.85847768192204,23.522360444317584,0.7096483634983874,0.17741209087459686,0.0,204.44905678323147
2,228.66354690153685,23.960854101031806,0.733675046323816,0.183418761580954,0.0,203.78559899260026
3,227.58615158344685,24.40047990697869,0.7580845201056637,0.18952113002641593,0.0,202.23806602633607
4,227.8646541815058,24.8410792648803,0.7828671400160786,0.19571678500401965,0.0,202.0449909916054
5,227.21383647365718,25.282512684532044,0.8080139112774937,0.20200347781937342,0.0,200.92130640002827
6,226.84833921307418,25.724829738932918,0.8335264287144394,0.20838160717860985,0.0,200.0816014382482
7,226.9804600623247,26.16785074415187,0.859392978860914,0.2148482447152285,0.0,199.7383680945967
8,225.98877189533385,26.61133080930626,0.8855974862707913,0.22139937156769782,0.0,198.2704442281891
9,227.05337436517817,27.05523328680328,0.9121357401380181,0.22803393503450453,0.0,198.85797140320236
10,226.58435522977493,27.499506588055823,0.9390025500041418,0.23475063750103545,0.0,197.91109545421392
11,225.6345700350443,27.944201366970503,0.9661989028962482,0.24154972572406205,0.0,196.48262003945348
12,224.92599518766698,28.388894692650787,0.9936965103999128,0.2484241275999782,0.0,195.2949798570163
13,225.68067384721778,28.83341469866503,1.0214817590728225,0.2553704397682056,0.0,195.57040694971172
14,225.7071758471764,29.27799591152654,1.0495664305263395,0.26239160763158487,0.0,195.11722189749193
15,224.21521924360474,29.722300707290884,1.0779262628010524,0.2694815657002631,0.0,193.14551070781255
16,224.98279530332556,30.1660889469303,1.1065424740262217,0.27663561850655544,0.0,193.43352826386248
17,225.10685138962356,30.609226845972284,1.1354026768232064,0.2838506692058016,0.0,193.07837119762226
18,224.7722834693932,31.05150344662721,1.1644891028609345,0.29112227571523364,0.0,192.26516864418983
19,226.0133587450807,31.493093031059622,1.193809215849922,0.2984523039624805,0.0,193.02800419420868
20,224.99457929819266,31.934083243381565,1.2233651488763708,0.3058412872190927,0.0,191.53128961871565
21,223.48114528515998,32.373755653883315,1.2531045414372564,0.3132761353593141,0.0,189.5410089544801
22,224.08953067413537,32.81201058770478,1.2830157605722674,0.32075394014306685,0.0,189.67375038571527
23,224.60985948697575,33.24882004574494,1.3130919742670357,0.32827299356675893,0.0,189.71967447339702
24,223.5010931594511,33.68402450302974,1.3433171963411503,0.3358292990852876,0.0,188.13792216099492
25,224.33515459388227,34.1173511264944,1.373667182619657,0.34341679565491423,0.0,188.5007194891133
26,222.54879218928622,34.54903883874748,1.40415343597455,0.3510383589936375,0.0,186.24456155557056
27,223.95699269141838,34.9788151123107,1.434751544990275,0.35868788624756875,0.0,187.18473814786984
28,223.66429031732864,35.40673297417078,1.4654600244163651,0.3663650061040913,0.0,186.4257323126374
29,221.7116661030421,35.83295775058763,1.4962857557427727,0.37407143893569317,0.0,184.008351157776
30,221.92961022675973,36.25725403123637,1.5272067611560967,0.38180169028902416,0.0,183.76334774407823
31,221.99882514790394,36.678967509200305,1.5581697641653043,0.38954244104132607,0.0,183.372145433497
32,222.21317799948758,37.09832650590276,1.5891856927255295,0.39729642318138236,0.0,183.1283693776779
33,222.05974242551034,37.51516701875104,1.6202367436033485,0.4050591859008371,0.0,182.5192794772551
34,220.84537409737925,37.92965190172327,1.65132947895682,0.412832369739205,0.0,180.85156034695996
35,222.3428202459211,38.34154615712021,1.6824407497231275,0.4206101874307819,0.0,181.898223151647
36,220.8555957639197,38.75097931092665,1.7135748397739916,0.4283937099434979,0.0,179.96264790327555
37,221.72255046637426,39.15736918733732,1.7446817422653023,0.43617043556632557,0.0,180.3843291012053
38,222.32701150484456,39.56131331546521,1.775801575848693,0.44395039396217323,0.0,180.54594621956846
39,221.40196128801009,39.962392411808814,1.8068966590389497,0.4517241647597374,0.0,179.18094805240258
40,220.3650624760475,40.360706081894016,1.837969202250021,0.45949230056250523,0.0,177.70689489134097
41,220.8351035975832,40.755721830745706,1.868971950783393,0.46724298769584827,0.0,177.74316682835826
42,220.8311676586994,41.147662767323254,1.8999165927064432,0.4749791481766108,0.0,177.30860915049308
43,220.18770848568298,41.53612713479441,1.9307655780689836,0.4826913945172459,0.0,176.23812437830233
44,220.9238315370823,41.920743614000244,1.9614831790062754,0.49037079475156886,0.0,176.5512339493242
45,220.45456698687815,42.3019944192529,1.9921018688388055,0.49802546720970137,0.0,175.66244523157673
46,220.3798886701199,42.68010587987781,2.0226343757935528,0.5056585939483882,0.0,175.17148982050014
47,220.55253310198577,43.05424478827274,2.0530076848014556,0.5132519212003639,0.0,174.93202870771123
48,220.33621497404522,43.425025743220274,2.0832659303587096,0.5208164825896774,0.0,174.30710681787656
49,220.04820585620968,43.79218800940718,2.1133824162871098,0.5283456040717774,0.0,173.6142898264436
50,220.87451282495448,44.15553743735734,2.1433356261297023,0.5358339065324256,0.0,174.03980585493503
