epoch,total_loss,loss_cost,loss_risk,loss_discard,loss_surplus,loss_shortage
1,222325.96635446753,1171.8078845265773,117.38210230304048,172.2917304074315,0.0,220899.6992679214
2,221783.69167006566,1211.765309413372,122.14307161325254,179.22120036414725,0.0,220307.20501015885
3,221242.5377147894,1252.3684671230205,127.0026187655015,186.2896008979121,0.0,219714.9778136326
4,220702.51849727178,1293.6152259528767,131.96046125543057,193.49652600421808,0.0,219123.03442243589
5,220163.6477982018,1335.503386957575,137.0163063791579,200.84155508691302,0.0,218531.3914416919
6,219625.93918797374,1378.0306836519862,142.16985121745512,208.32425293347808,0.0,217940.06535553606
7,219089.4059949587,1421.1947855986964,147.42078308915575,215.94417037260462,0.0,217349.072490825
8,218554.09759567885,1464.993298037094,152.7687795269615,223.70084423854055,0.0008060115682954231,216758.46450172277
9,218021.60532522318,1509.4216170666182,158.2132475067797,231.593406239349,0.03705181340527268,216169.80397684907
10,217492.78603299812,1554.4636939701768,163.7521923621038,239.61888944525708,0.12476879458215007,215583.95214613463
11,216967.65445299394,1600.10585429355,169.38388706950275,247.77473474733526,0.2619463337101654,215000.9431966707
12,216446.28654146206,1646.3350340818827,175.1066619438337,256.0584742231309,0.4482061674268576,214420.87016362895
13,215928.7404106661,1693.1394454806236,180.9189890140163,264.46785661123397,0.6831536410382287,213843.8066626234
14,215415.0526467615,1740.507012800707,186.8192923453629,273.0005626680047,0.9659697347744043,213269.80559691627
15,214905.42808020927,1788.4251133585951,192.8059163435587,281.65415780638887,1.2995753007865958,212699.085092303
16,214399.8302034547,1836.8804026554217,198.87710401709816,290.4260595905808,1.6814983282277383,212131.6282700685
17,213898.36497648302,1885.8593539172202,205.0310638047168,299.3136376358444,2.112503642495489,211567.55773662415
18,213401.00654061997,1935.348729802521,211.2660290258042,308.31430204839165,2.5905783148697057,211006.86671013612
19,212907.7369391265,1985.3357226189542,217.58027664524198,317.42553115787143,3.1140498422222542,210449.5554418558
20,212418.57100025102,2035.8079028354582,223.97212219164226,326.6448634762828,3.6821193750379586,209895.65562903008
21,211933.48326056765,2086.7514090250784,230.43969341210575,335.9695603178684,4.292917032172134,209345.16158880407
22,211452.43422020983,2138.1544297933074,236.9813674260321,345.3972570407686,4.94468682505443,208798.05088935248
23,210975.47467418257,2190.0023694560605,243.59516383739265,354.92505898350026,5.637270143004452,208254.39336091382
24,210502.45497392473,2242.2826328963633,250.27934677462423,364.5504379927143,6.366459451102388,207714.05990084232
25,210033.50019019042,2294.982448133939,257.0321520423046,374.2708257881387,7.1341775387642885,207177.19023229997
26,209568.5483488643,2348.0871338504667,263.8515672008182,384.08328725091667,7.937936700165616,206643.7438940222
27,209107.54143965902,2401.582961841114,270.7356939527287,393.9850592378873,8.775553216536096,206113.68287959657
28,208650.35622581322,2455.4570034899307,277.68273015583674,403.9735235304878,9.643570924627802,205586.90421675908
29,208197.0513995805,2509.696382874665,284.6908757424567,414.04606675425737,10.542627943391983,205063.48270898845
30,207747.55139801028,2564.2872325683984,291.7581994276173,424.19988265798037,11.47026795590146,204543.36327522868
31,207301.77630820966,2619.216296433061,298.88284340422496,434.4322758622453,12.42407517782949,204026.48567035358
32,206859.69489989468,2674.4710015590404,306.06303352643414,444.74067680335213,13.402854050986857,203512.83624401278
33,206421.35106176964,2730.038671208794,313.29697906874895,455.1224928446201,14.407093675776332,203002.47491869234
34,205986.6903982252,2785.9025415783117,320.58235958905954,465.57434839808445,15.43453707400683,202495.37131946246
35,205555.52421500947,2842.051004440501,327.9175137554174,476.093846349988,16.48073490170486,201991.3563696885
36,205127.7477575376,2898.4715014936883,335.3006556688622,486.6784063986263,17.54298659960748,201490.34440407748
37,204703.41933738772,2955.1535976409714,342.7302718587655,497.32585268563275,18.62253421299052,200992.40616254698
38,204282.45130148053,3012.0818473727886,350.20419869139863,508.0330488141966,19.716692189630663,200497.47677401995
39,203864.72730895408,3069.2457154305266,357.7209056613515,518.7977965212955,20.82284571536896,200005.45631732396
40,203450.16343232736,3126.633960111345,365.2787698936634,529.617761956112,21.939010947136556,199516.2775603872
41,203038.83708417078,3184.2340765538893,372.87600307679236,540.490368058938,23.066630328889303,199030.0328070753
42,202630.64749925843,3242.0321628176844,380.510632998295,551.4127676933067,24.203019061284476,198546.64210658736
43,202225.6270076177,3300.013606632657,388.1805920805309,562.3819748912045,25.34838032283525,198066.15663131463
44,201823.5649187754,3358.1651580497128,395.8839878086485,573.3952640456757,26.49771885059622,197588.38798636338
45,201424.40743340732,3416.476422798113,403.6192993596153,584.4504594990584,27.649907715217385,197113.2971338432
46,201028.12405227797,3474.9358693651857,411.3848568762978,595.5451668180255,28.804194731008675,196640.86942155033
47,200634.63847746814,3533.5304532125874,419.17879126540254,606.6766993310713,29.958626323944873,196171.04754471476
48,200243.84679090956,3592.249856200852,426.9995897802723,617.8428971487543,31.110986585737624,195703.74333812803
49,199855.6812197138,3651.084165688852,434.8457930135312,629.0416799706045,32.259911940414,195238.90340700446
50,199470.08407428206,3710.0233121025944,442.71592114332566,640.2709384347536,33.40424084800295,194776.48443809638
51,199086.9707422703,3769.054937808509,450.60819301142334,651.5281207779896,34.54193589030106,194316.4200126855
52,198706.24243683333,3828.1731546618826,458.52167955187394,662.8119305844757,35.67142391770878,193858.62075198296
53,198327.8945230597,3887.367679269624,466.4548737818344,674.1202215045819,36.792683786200335,193403.095526852
54,197951.79026392405,3946.629579389699,474.40644719589994,685.4511108241252,37.902915693385296,192949.72214497972
