epoch,demand_node_id,demand_flow
1,12,4.504964068642616
1,13,2.465971116248875
1,14,3.566541166045955
2,12,4.577752060970294
2,13,2.5387591086138293
2,14,3.6378733985615415
3,12,4.650506407318601
3,13,2.611514639679004
3,14,3.7091737456830285
4,12,4.72322449182124
4,13,2.684235884093229
4,14,3.780440369699113
5,12,4.795903716858245
5,13,2.7569210330683034
5,14,3.8516714492782196
6,12,4.868541502079939
6,13,2.8295682916586506
6,14,3.9228651769105887
7,12,4.941135290074199
7,13,2.902175882718458
7,14,3.9940197628920036
8,12,5.013682545075542
8,13,2.974742043948031
8,14,4.065133432531849
9,12,5.086170392665655
9,13,3.0472650518770292
9,14,4.136204449754957
10,12,5.1585326674039935
10,13,3.119743198490493
10,14,4.207231094295453
11,12,5.230718181473176
11,13,3.1921748163869252
11,14,4.278211686476807
12,12,5.302681541727572
12,13,3.264558275995342
12,14,4.349144584590256
13,12,5.3743857595076685
13,13,3.336891982341294
13,14,4.4200281818203955
14,12,5.445794615688655
14,13,3.4091743983798644
14,14,4.490860929192937
15,12,5.516871495102121
15,13,3.4814040206834393
15,14,4.561641311825411
16,12,5.587578591574763
16,13,3.553579402239473
16,14,4.6323678713367515
17,12,5.657879309702317
17,13,3.625699141177255
17,14,4.703039194862793
18,12,5.727740128192643
18,13,3.697761902970589
18,14,4.773653936867383
19,12,5.79713102250459
19,13,3.7697663949547104
19,14,4.844210794215794
20,12,5.866024974691361
20,13,3.8417113877686146
20,14,4.914708527221455
21,12,5.9343903802796545
21,13,3.9135957094178484
21,14,4.985145953854117
22,12,6.002205385200455
22,13,3.9854182392498814
22,14,5.055521943859629
23,12,6.06943794994912
23,13,4.057177928349501
23,14,5.125835438753805
24,12,6.136065356951629
24,13,4.128873772839113
24,14,5.196085425671637
25,12,6.202065124032614
25,13,4.200504833850183
25,14,5.2662709569343225
26,12,6.267408321189463
26,13,4.272070223598227
26,14,5.336391136397738
27,12,6.33207078897877
27,13,4.34356912516798
27,14,5.4064451388311285
28,12,6.396032330388886
28,13,4.41500076484132
28,14,5.4764321827882085
29,12,6.459273656584507
29,13,4.486364431259068
29,14,5.5463515493590965
30,12,6.521772497634531
30,13,4.557659460800032
30,14,5.616202567818188
31,12,6.583509559554339
31,13,4.628885256562745
31,14,5.685984634194257
32,12,6.644468667695506
32,13,4.700041260131181
32,14,5.755697183575535
33,12,6.704633742482548
33,13,4.771126970172779
33,14,5.825339708293836
34,12,6.763974693640784
34,13,4.842141934126063
34,14,5.8949117497418495
35,12,6.822480517580221
35,13,4.9130857403697235
35,14,5.964412890673495
36,12,6.880137128905771
36,13,4.983958029738195
36,14,6.033842766439199
37,12,6.936938080701555
37,13,5.054758487053858
37,14,6.1032010566464105
38,12,6.992859900680368
38,13,5.125486839096023
38,14,6.172487483119513
39,12,7.0478963521322795
39,13,5.196142853234055
39,14,6.241701808526236
40,12,7.102038853544826
40,13,5.266726335414166
40,14,6.310843834355097
41,12,7.155274750382682
41,13,5.337237121620554
41,14,6.379913392503972
42,12,7.2075870268888
42,13,5.407675089567037
42,14,6.448910356690776
43,12,7.258956751486949
43,13,5.478040143895589
43,14,6.517834627917232
44,12,7.309369811772886
44,13,5.548332228157428
44,14,6.586686146169939
45,12,7.358821488388386
45,13,5.618551316630609
45,14,6.655464882366567
46,12,7.407303375378178
46,13,5.688697419155176
46,14,6.72417084304538
47,12,7.4548023876929586
47,13,5.758770559588886
47,14,6.7928040492224255
48,12,7.501314149902679
48,13,5.828770787794271
48,14,6.861364548098443
49,12,7.546835443814022
49,13,5.898698184662783
49,14,6.929852417938062
50,12,7.591362447013347
50,13,5.9685528538926205
50,14,6.99826775997605
51,12,7.634884263569743
51,13,6.038334920531872
51,14,7.066610696952772
52,12,7.67740968176147
52,13,6.1080445232569645
52,14,7.134881365523239
53,12,7.718933802660317
53,13,6.177681825817026
53,14,7.203079927418887
54,12,7.7594556809954724
54,13,6.247247009254462
54,14,7.27120656179848
55,12,7.798973085605593
55,13,6.316740270670446
55,14,7.3392614640069
56,12,7.837488153844568
56,13,6.386161815512765
56,14,7.407244837993792
57,12,7.875007384881551
57,13,6.455511869597414
57,14,7.475156908054863
58,12,7.911530107587231
58,13,6.524790677796258
58,14,7.542997917512503
59,12,7.947058972568438
59,13,6.59399847672209
59,14,7.610768101943578
60,12,7.9816014653244505
60,13,6.663135526762277
60,14,7.678467720522656
61,12,8.015166232506779
61,13,6.732202104350748
61,14,7.746097048424771
62,12,8.04776109087015
62,13,6.801198481129587
62,14,7.813656356392475
63,12,8.079387471574123
63,13,6.870124936196884
63,14,7.881145922704274
64,12,8.110052604211836
64,13,6.938981768651306
64,14,7.948566045440906
65,12,8.13976713573474
65,13,7.007769270461578
65,14,8.015917015898918
66,12,8.168533560277417
66,13,7.076487745325249
66,14,8.083199137032867
67,12,8.196364441292253
67,13,7.145137495052039
67,14,8.150412710110027
68,12,8.223272229158553
68,13,7.213718838411047
68,14,8.217558053140799
69,12,8.249266975953597
69,13,7.282232084094212
69,14,8.284635474387109
70,12,8.274355256135184
70,13,7.35067754980274
70,14,8.351645291033012
71,12,8.298543618509317
71,13,7.419055555271956
71,14,8.418587822344108
72,12,8.321839420828063
72,13,7.487366415348752
72,14,8.485463382879871
73,12,8.344244397212082
73,13,7.555610459254802
73,14,8.552272301341656
74,12,8.36577314452901
74,13,7.623787997749053
74,14,8.619014888421624
75,12,8.386442455546094
75,13,7.691899361734381
75,14,8.68569147458011
76,12,8.406258349846672
76,13,7.759944868872527
76,14,8.75230237734468
77,12,8.425237560625057
77,13,7.827924843036243
77,14,8.818847920347782
78,12,8.44338793018379
78,13,7.895839607165788
78,14,8.885328426317301
79,12,8.460726689927526
79,13,7.9636894831002545
79,14,8.951744216906308
80,12,8.4772696800578
80,13,8.031474784504958
80,14,9.018095605754967
81,12,8.49302867508122
81,13,8.099195829471418
81,14,9.084382910812042
82,12,8.508014288336764
82,13,8.166852927257013
82,14,9.150606441348424
83,12,8.522244397801845
83,13,8.234446397664234
83,14,9.216766516921131
84,12,8.535730660699254
84,13,8.301976544545308
84,14,9.282863441426791
85,12,8.548487145426265
85,13,8.369443675188524
85,14,9.348897522072711
86,12,8.560526678869389
86,13,8.43684809357536
86,14,9.414869062770082
87,12,8.571868888982006
87,13,8.504190093730635
87,14,9.480778357620814
88,12,8.582529684962008
88,13,8.571469972280175
88,14,9.546625703196195
89,12,8.592526623940834
89,13,8.638688021719934
89,14,9.612411391942244
90,12,8.601879410172105
90,13,8.705844530136496
90,14,9.678135711898124
91,12,8.610604361162848
91,13,8.77293977438256
91,14,9.743798940007524
92,12,8.618720739850131
92,13,8.839974032881758
92,14,9.809401354645434
93,12,8.626245700554755
93,13,8.906947578867971
93,14,9.874943228993597
94,12,8.633195096865814
94,13,8.97386067376105
94,14,9.940424824553137
95,12,8.639584841205135
95,13,9.040713586499887
95,14,10.00584641006128
96,12,8.645431847181591
96,13,9.107506561121083
96,14,10.071208229761059
97,12,8.650751812525426
97,13,9.174239855450793
97,14,10.13651054126115
98,12,8.655560895284012
98,13,9.240913708731219
98,14,10.201753583853801
99,12,8.659874765168459
99,13,9.307528367402162
99,14,10.266937603741209
100,12,8.66370992124738
100,13,9.374084052784061
100,14,10.332062822410649
101,12,8.66708396542316
101,13,9.440580999739542
101,14,10.397129474463268
102,12,8.670012045189228
102,13,9.507019424300564
102,14,10.462137775933233
103,12,8.672509627404906
103,13,9.57339954303173
103,14,10.527087943234333
104,12,8.674591852039828
104,13,9.639721566574979
104,14,10.591980186842687
105,12,8.676273257434193
105,13,9.705985693224582
105,14,10.656814705009936
106,12,8.677568172680916
106,13,9.772192121843434
106,14,10.721591696401443
107,12,8.678491402163164
107,13,9.838341045463368
107,14,10.786311353834954
108,12,8.67905950799857
108,13,9.904432644875103
108,14,10.850973858008963
109,12,8.679286097685248
109,13,9.970467107851766
109,14,10.9155793963084
110,12,8.679184390158962
110,13,10.036444603514312
110,14,10.980128137725716
111,12,8.678767264055981
111,13,10.102365295278425
111,14,11.044620245529739
112,12,8.678048296299556
112,13,10.168229353778624
112,14,11.109055889911378
113,12,8.67703871968725
113,13,10.234036931244313
113,14,11.173435222915767
114,12,8.67575031029459
114,13,10.299788180904596
114,14,11.237758397429928
115,12,8.674194346551511
115,13,10.365483244273525
115,14,11.302025554746438
116,12,8.672384024866558
116,13,10.431122270497015
116,14,11.366236843492679
117,12,8.670330584107369
117,13,10.496705390746829
117,14,11.430392394581482
118,12,8.668046204662907
118,13,10.562232731149937
118,14,11.494492333862105
119,12,8.665540865939949
119,13,10.627704425635851
119,14,11.558536794688504
120,12,8.662826316909957
120,13,10.693120590489679
120,14,11.622525893030216
121,12,8.659911460299021
121,13,10.758481337208874
121,14,11.686459740050244
122,12,8.656806060781348
122,13,10.823786779066909
122,14,11.750338448529664
123,12,8.653521720939539
123,13,10.889037031220521
123,14,11.81416213297487
124,12,8.650069296587368
124,13,10.95423219157558
124,14,11.877930890901876
125,12,8.646454424954126
125,13,11.019372353622295
125,14,11.94164481539237
126,12,8.642687805957697
126,13,11.084457613096214
126,14,12.005304001616128
